MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION
ISUZU,HOMBRE,PICKUP TRUCK - SMALL,4.3,6,A4,X,15.4
ISUZU,HOMBRE 4X4,PICKUP TRUCK - STANDARD,4.3,6,A4,X,16.8
ISUZU,RODEO 4X4,SUV,3.2,6,A4,X,16.6
ISUZU,RODEO 4X4,SUV,3.2,6,M5,X,16.8
ISUZU,TROOPER 4X4,SUV,3.5,6,A4,X,17.8
ISUZU,TROOPER 4X4,SUV,3.5,6,M5,X,17.9
JAGUAR,S-TYPE V6,MID-SIZE,3.0,6,A5,Z,14.8
JAGUAR,S-TYPE V8,MID-SIZE,4.0,8,A5,Z,15.3
JAGUAR,VANDEN PLAS,MID-SIZE,4.0,8,A5,Z,15.5
JAGUAR,VANDEN PLAS SUPERCHARGED,MID-SIZE,4.0,8,A5,Z,16.6
JAGUAR,XJ8,COMPACT,4.0,8,A5,Z,15.5
JAGUAR,XJR #,COMPACT,4.0,8,A5,Z,16.5
JAGUAR,XK8,SUBCOMPACT,4.0,8,A5,Z,15.4
JAGUAR,XK8 CONVERTIBLE,MINICOMPACT,4.0,8,A5,Z,15.5
JAGUAR,XKR #,SUBCOMPACT,4.0,8,A5,Z,15.7
JAGUAR,XKR CONVERTIBLE #,MINICOMPACT,4.0,8,A5,Z,16.3
JEEP,CHEROKEE 4X4,SUV,4.0,6,A4,X,16.6
JEEP,CHEROKEE 4X4,SUV,4.0,6,M5,X,15.4
JEEP,GRAND CHEROKEE 4X4,SUV,4.0,6,A4,X,16.5
JEEP,GRAND CHEROKEE 4X4,SUV,4.7,8,A4,X,18.0
JEEP,TJ 4X4,SUV,2.5,4,A3,X,16.6
JEEP,TJ 4X4,SUV,2.5,4,M5,X,14.7
JEEP,TJ 4X4,SUV,4.0,6,A3,X,17.3
JEEP,TJ 4X4,SUV,4.0,6,M5,X,16.7
KIA,SEPHIA,COMPACT,1.8,4,A4,X,11.7
KIA,SEPHIA,COMPACT,1.8,4,M5,X,11.2
KIA,SPORTAGE 4X4,SUV,2.0,4,A4,X,13.4
KIA,SPORTAGE 4X4,SUV,2.0,4,M5,X,12.8
LAND ROVER,DISCOVERY SERIES II 4X4,SUV,4.0,8,A4,Z,19.6
LAND ROVER,DISCOVERY SERIES II 4X4,SUV,4.0,8,A4,Z,19.6
LAND ROVER,RANGE ROVER 4X4,SUV,4.0,8,A4,Z,19.6
LAND ROVER,RANGE ROVER 4X4,SUV,4.6,8,A4,Z,22.1
LEXUS,ES 300,COMPACT,3.0,6,A4,X,13.8
LEXUS,GS 300,MID-SIZE,3.0,6,A5,Z,13.7
LEXUS,GS 400,MID-SIZE,4.0,8,A5,Z,15.0
LEXUS,LS 400,MID-SIZE,4.0,8,A5,Z,14.3
LEXUS,LX 470,SUV,4.7,8,A4,X,19.4
LEXUS,RX 300,SUV,3.0,6,A4,X,14.2
LEXUS,RX 300 4X4,SUV,3.0,6,A4,X,14.4
LINCOLN,CONTINENTAL,FULL-SIZE,4.6,8,A4,Z,15.2
LINCOLN,LS,MID-SIZE,3.0,6,A5,X,15.4
LINCOLN,LS,MID-SIZE,3.0,6,M5,X,15.5
LINCOLN,LS,MID-SIZE,3.9,8,A5,X,15.9
LINCOLN,NAVIGATOR 4X4,SUV,5.4,8,A4,Z,21.4
LINCOLN,TOWN CAR,FULL-SIZE,4.6,8,A4,X,15.3
MAZDA,626,MID-SIZE,2.0,4,A4,X,12.7
MAZDA,626,MID-SIZE,2.0,4,M5,X,10.6
MAZDA,626,MID-SIZE,2.5,6,A4,Z,13.7
MAZDA,626,MID-SIZE,2.5,6,M5,Z,13.3
MAZDA,B3000,PICKUP TRUCK - STANDARD,3.0,6,A4,X,15.6
MAZDA,B3000,PICKUP TRUCK - STANDARD,3.0,6,M5,X,16.2
MAZDA,B4000,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.1
MAZDA,B4000,PICKUP TRUCK - STANDARD,4.0,6,M5,X,15.5
MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4.0,6,A5,X,17.2
MAZDA,B4000 4X4,PICKUP TRUCK - STANDARD,4.0,6,M5,X,16.5
MAZDA,MILLENIA,COMPACT,2.5,6,A4,Z,13.8
MAZDA,MILLENIA #,COMPACT,2.3,6,A4,Z,13.7
MAZDA,MPV,MINIVAN,2.5,6,A4,X,15.2
MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,A4,X,11.9
MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,M5,X,11.1
MAZDA,MX-5 MIATA,SUBCOMPACT,1.8,4,M6,X,11.5
MAZDA,PROTEGE,COMPACT,1.6,4,A4,X,10.6
MAZDA,PROTEGE,COMPACT,1.6,4,M5,X,9.8
MAZDA,PROTEGE,COMPACT,1.8,4,A4,X,11.2
MAZDA,PROTEGE,COMPACT,1.8,4,M5,X,10.2
MERCEDES-BENZ,C 230 KOMPRESSOR #,COMPACT,2.3,4,A5,Z,12.5
MERCEDES-BENZ,C 280,COMPACT,2.8,6,A5,Z,12.7
MERCEDES-BENZ,C 43 AMG,COMPACT,4.3,8,A5,Z,14.7
MERCEDES-BENZ,CLK 320,SUBCOMPACT,3.2,6,A5,Z,12.9
MERCEDES-BENZ,CLK 320 CABRIOLET,MINICOMPACT,3.2,6,A5,Z,13.6
MERCEDES-BENZ,CLK 430,SUBCOMPACT,4.3,8,A5,Z,14.4
MERCEDES-BENZ,CLK 430 CABRIOLET,MINICOMPACT,4.3,8,A5,Z,15.2
MERCEDES-BENZ,E 320,MID-SIZE,3.2,6,A5,Z,12.9
MERCEDES-BENZ,E 320 4MATIC,MID-SIZE,3.2,6,A5,Z,13.1
MERCEDES-BENZ,E 320 4MATIC WAGON,STATION WAGON - MID-SIZE,3.2,6,A5,Z,13.5
MERCEDES-BENZ,E 320 WAGON,STATION WAGON - MID-SIZE,3.2,6,A5,Z,13.2
MERCEDES-BENZ,E 430,MID-SIZE,4.3,8,A5,Z,14.6
MERCEDES-BENZ,E 430 4MATIC,MID-SIZE,4.3,8,A5,Z,15.1
MERCEDES-BENZ,E 55 AMG,MID-SIZE,5.5,8,A5,Z,16.0
MERCEDES-BENZ,ML 320,SUV,3.2,6,A5,Z,16.1
MERCEDES-BENZ,ML 430,SUV,4.3,8,A5,Z,17.0
MERCEDES-BENZ,S 430,FULL-SIZE,4.3,8,A5,Z,15.3
MERCEDES-BENZ,S 500,FULL-SIZE,5.0,8,A5,Z,16.1
MERCEDES-BENZ,SL 500,SUBCOMPACT,5.0,8,A5,Z,16.3
MERCEDES-BENZ,SL 600,SUBCOMPACT,6.0,12,A5,Z,20.1
MERCEDES-BENZ,SLK 230 KOMPRESSOR #,SUBCOMPACT,2.3,4,A5,Z,12.0
MERCEDES-BENZ,SLK 230 KOMPRESSOR #,SUBCOMPACT,2.3,4,M5,Z,12.6
NISSAN,ALTIMA,COMPACT,2.4,4,A4,X,12.8
NISSAN,ALTIMA,COMPACT,2.4,4,M5,X,11.6
NISSAN,FRONTIER,PICKUP TRUCK - STANDARD,2.4,4,A4,X,13.5
NISSAN,FRONTIER,PICKUP TRUCK - STANDARD,2.4,4,M5,X,12.1
NISSAN,FRONTIER 4X4,PICKUP TRUCK - STANDARD,2.4,4,M5,X,14.9
NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,A4,X,16.8
NISSAN,FRONTIER V6,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.1
NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,A4,X,17.3
NISSAN,FRONTIER V6 4X4,PICKUP TRUCK - STANDARD,3.3,6,M5,X,16.2
NISSAN,MAXIMA,MID-SIZE,3.0,6,A4,X,13.4
NISSAN,MAXIMA,MID-SIZE,3.0,6,M5,X,12.3
NISSAN,PATHFINDER 4X4,SUV,3.3,6,A4,X,17.3
NISSAN,PATHFINDER 4X4,SUV,3.3,6,M5,X,16.5
NISSAN,QUEST,MINIVAN,3.3,6,A4,X,15.5
NISSAN,XTERRA,SUV,2.4,4,M5,X,14.2
NISSAN,XTERRA V6,SUV,3.3,6,A4,X,16.5
NISSAN,XTERRA V6,SUV,3.3,6,M5,X,15.9
NISSAN,XTERRA V6 4X4,SUV,3.3,6,A4,X,17.3
NISSAN,XTERRA V6 4X4,SUV,3.3,6,M5,X,16.2
OLDSMOBILE,ALERO,COMPACT,2.4,4,A4,X,12.1
OLDSMOBILE,ALERO,COMPACT,2.4,4,M5,X,12.5
OLDSMOBILE,ALERO,COMPACT,3.4,6,A4,X,13.6
OLDSMOBILE,INTRIGUE,MID-SIZE,3.5,6,A4,X,14.7
OLDSMOBILE,SILHOUETTE,MINIVAN,3.4,6,A4,X,14.0
PLYMOUTH,PROWLER,SUBCOMPACT,3.5,6,AS4,Z,15.4
PONTIAC,BONNEVILLE,FULL-SIZE,3.8,6,A4,X,14.4
PONTIAC,BONNEVILLE #,FULL-SIZE,3.8,6,A4,Z,15.1
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,A4,X,13.9
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,3.8,6,M5,X,13.8
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,5.7,8,A4,Z,14.9
PONTIAC,FIREBIRD/FORMULA,SUBCOMPACT,5.7,8,M6,Z,14.9
PONTIAC,FIREFLY,SUBCOMPACT,1.0,3,M5,X,7.1
PONTIAC,FIREFLY,SUBCOMPACT,1.3,4,A3,X,9.1
PONTIAC,FIREFLY,SUBCOMPACT,1.3,4,M5,X,7.6
PONTIAC,GRAND AM,COMPACT,2.4,4,A4,X,12.1
PONTIAC,GRAND AM,COMPACT,2.4,4,M5,X,12.5
PONTIAC,GRAND AM,COMPACT,3.4,6,A4,X,13.6
PONTIAC,GRAND PRIX,MID-SIZE,3.1,6,A4,X,13.1
PONTIAC,GRAND PRIX,MID-SIZE,3.8,6,A4,X,13.5
PONTIAC,GRAND PRIX #,MID-SIZE,3.8,6,A4,Z,15.0
PONTIAC,MONTANA,MINIVAN,3.4,6,A4,X,14.0
PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,A3,X,11.8
PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,A4,X,11.6
PONTIAC,SUNFIRE,SUBCOMPACT,2.2,4,M5,X,12.2
PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,A4,X,12.5
PONTIAC,SUNFIRE,SUBCOMPACT,2.4,4,M5,X,12.1
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,AS5,Z,16.0
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M6,Z,15.4
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,AS5,Z,16.0
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M6,Z,15.7
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,AS5,Z,15.3
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M5,Z,15.0
PORSCHE,BOXSTER S,TWO-SEATER,3.2,6,AS5,Z,15.9
PORSCHE,BOXSTER S,TWO-SEATER,3.2,6,M6,Z,15.0
SAAB,9-3 TURBO,MID-SIZE,2.0,4,A4,X,13.4
SAAB,9-3 TURBO,MID-SIZE,2.0,4,M5,X,12.9
SAAB,9-3 TURBO,MID-SIZE,2.3,4,M5,X,13.1
SAAB,9-5 TURBO,FULL-SIZE,2.3,4,A4,X,13.9
SAAB,9-5 TURBO,FULL-SIZE,2.3,4,M5,X,13.2
SAAB,9-5 TURBO,FULL-SIZE,3.0,6,A4,X,14.3
SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,A4,X,13.9
SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,2.3,4,M5,X,13.2
SAAB,9-5 WAGON TURBO,STATION WAGON - MID-SIZE,3.0,6,A4,X,14.3
SATURN,LS,MID-SIZE,2.2,4,A4,X,11.9
SATURN,LS,MID-SIZE,2.2,4,M5,X,12.2
SATURN,LS,MID-SIZE,3.0,6,A4,X,13.3
SATURN,LW WAGON,STATION WAGON - MID-SIZE,2.2,4,A4,X,12.1
SATURN,LW WAGON,STATION WAGON - MID-SIZE,3.0,6,A4,X,13.3
SATURN,SC,SUBCOMPACT,1.9,4,A4,X,10.1
SATURN,SC,SUBCOMPACT,1.9,4,M5,X,9.8
SATURN,SC #,SUBCOMPACT,1.9,4,A4,X,10.6
SATURN,SC #,SUBCOMPACT,1.9,4,M5,X,10.3
SATURN,SL,COMPACT,1.9,4,A4,X,10.1
SATURN,SL,COMPACT,1.9,4,M5,X,9.3
SATURN,SL #,COMPACT,1.9,4,A4,X,10.6
SATURN,SL #,COMPACT,1.9,4,M5,X,10.3
SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,A4,X,10.6
SATURN,SW WAGON #,STATION WAGON - SMALL,1.9,4,M5,X,10.3
SUBARU,FORESTER AWD,SUV,2.5,4,A4,X,12.2
SUBARU,FORESTER AWD,SUV,2.5,4,M5,X,12.5
SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,A4,X,11.7
SUBARU,IMPREZA AWD,SUBCOMPACT,2.2,4,M5,X,11.8
SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,A4,X,11.8
SUBARU,IMPREZA AWD,SUBCOMPACT,2.5,4,M5,X,12.8
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.2,4,A4,X,11.7
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.2,4,M5,X,11.8
SUBARU,LEGACY AWD,COMPACT,2.5,4,A4,X,12.2
SUBARU,LEGACY AWD,COMPACT,2.5,4,M5,X,12.5
SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,A4,X,12.2
SUBARU,LEGACY WAGON AWD,STATION WAGON - MID-SIZE,2.5,4,M5,X,12.5
SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,A4,X,9.9
SUZUKI,ESTEEM,SUBCOMPACT,1.6,4,M5,X,8.8
SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,A4,X,10.3
SUZUKI,ESTEEM WAGON,STATION WAGON - SMALL,1.8,4,M5,X,9.6
SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,A4,X,14.2
SUZUKI,GRAND VITARA 4X4,SUV,2.5,6,M5,X,13.8
SUZUKI,SWIFT,SUBCOMPACT,1.3,4,A3,X,9.1
SUZUKI,SWIFT,SUBCOMPACT,1.3,4,M5,X,7.6
SUZUKI,VITARA 4X4,SUV,2.0,4,A4,X,11.7
SUZUKI,VITARA 4X4,SUV,2.0,4,M5,X,11.8
SUZUKI,VITARA CONVERTIBLE 4X4,SUV,1.6,4,M5,X,10.5
SUZUKI,VITARA CONVERTIBLE 4X4,SUV,2.0,4,A4,X,11.7
SUZUKI,VITARA CONVERTIBLE 4X4,SUV,2.0,4,M5,X,11.8
TOYOTA,4RUNNER 4X4,SUV,2.7,4,A4,X,14.2
TOYOTA,4RUNNER 4X4,SUV,2.7,4,M5,X,15.4
TOYOTA,4RUNNER 4X4,SUV,3.4,6,A4,X,15.7
TOYOTA,4RUNNER 4X4,SUV,3.4,6,M5,X,15.7
TOYOTA,AVALON,FULL-SIZE,3.0,6,A4,X,12.7
TOYOTA,CAMRY,MID-SIZE,2.2,4,A4,X,11.8
TOYOTA,CAMRY,MID-SIZE,2.2,4,M5,X,11.4
TOYOTA,CAMRY,MID-SIZE,3.0,6,A4,X,13.4
TOYOTA,CAMRY SOLARA,COMPACT,2.2,4,A4,X,11.8
TOYOTA,CAMRY SOLARA,COMPACT,3.0,6,A4,X,13.4
TOYOTA,CAMRY SOLARA,COMPACT,3.0,6,M5,X,12.7
TOYOTA,CAMRY SOLARA CONVERTIBLE,SUBCOMPACT,3.0,6,A4,X,14.0
TOYOTA,CELICA,SUBCOMPACT,1.8,4,A4,X,10.1
TOYOTA,CELICA,SUBCOMPACT,1.8,4,AS4,Z,11.6
TOYOTA,CELICA,SUBCOMPACT,1.8,4,M5,X,10.0
TOYOTA,CELICA,SUBCOMPACT,1.8,4,M6,Z,11.6
TOYOTA,COROLLA,COMPACT,1.8,4,A4,X,9.3
TOYOTA,COROLLA,COMPACT,1.8,4,M5,X,8.7
TOYOTA,ECHO,COMPACT,1.5,4,A4,X,8.6
TOYOTA,ECHO,COMPACT,1.5,4,M5,X,8.2
TOYOTA,RAV4,SUV,2.0,4,A4,X,11.3
TOYOTA,RAV4,SUV,2.0,4,M5,X,11.2
TOYOTA,RAV4 4X4,SUV,2.0,4,A4,X,12.2
TOYOTA,RAV4 4X4,SUV,2.0,4,M5,X,12.1
TOYOTA,RAV4 SOFT TOP,SUV,2.0,4,A4,X,11.3
TOYOTA,RAV4 SOFT TOP,SUV,2.0,4,M5,X,11.2
TOYOTA,RAV4 SOFT TOP 4X4,SUV,2.0,4,A4,X,11.8
TOYOTA,RAV4 SOFT TOP 4X4,SUV,2.0,4,M5,X,11.9
TOYOTA,SIENNA,MINIVAN,3.0,6,A4,X,14.3
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,A4,X,12.6
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.4,4,M5,X,12.2
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,2.7,4,A4,X,14.0
TOYOTA,TACOMA,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.3
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,A4,X,14.2
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,2.7,4,M5,X,15.7
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.2
TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6,M5,X,15.7
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,A4,X,15.7
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,3.4,6,M5,X,16.0
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.7,8,A4,X,17.3
TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,3.4,6,A4,X,17.2
TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,3.4,6,M5,X,17.1
TOYOTA,TUNDRA 4X4,PICKUP TRUCK - STANDARD,4.7,8,A4,X,18.2
VOLKSWAGEN,CABRIO,SUBCOMPACT,2.0,4,A4,X,12.6
VOLKSWAGEN,CABRIO,SUBCOMPACT,2.0,4,M5,X,11.2
VOLKSWAGEN,EUROVAN,MINIVAN,2.8,6,A4,X,17.6
VOLKSWAGEN,EUROVAN CAMPER,MINIVAN,2.8,6,A4,X,18.6
VOLKSWAGEN,GOLF,COMPACT,1.8,4,A4,Z,12.1
VOLKSWAGEN,GOLF,COMPACT,1.8,4,M5,Z,11.1
VOLKSWAGEN,GOLF,COMPACT,2.0,4,A4,X,11.9
VOLKSWAGEN,GOLF,COMPACT,2.0,4,M5,X,11.2
VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,A4,D,8.1
VOLKSWAGEN,GOLF TDI DIESEL,COMPACT,1.9,4,M5,D,6.7
VOLKSWAGEN,GTI,COMPACT,1.8,4,M5,Z,11.1
VOLKSWAGEN,GTI,COMPACT,2.0,4,A4,X,11.9
VOLKSWAGEN,GTI,COMPACT,2.0,4,M5,X,11.2
VOLKSWAGEN,GTI,COMPACT,2.8,6,M5,X,13.2
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A4,Z,12.1
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,Z,11.1
VOLKSWAGEN,JETTA,COMPACT,2.0,4,A4,X,11.9
VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,X,11.2
VOLKSWAGEN,JETTA,COMPACT,2.8,6,A4,X,14.2
VOLKSWAGEN,JETTA,COMPACT,2.8,6,M5,X,13.6
VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,A4,D,8.1
VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4,M5,D,6.7
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4,A4,Z,11.9
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,1.8,4,M5,Z,10.6
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,A4,X,11.9
VOLKSWAGEN,NEW BEETLE,SUBCOMPACT,2.0,4,M5,X,11.2
VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,A4,D,8.1
VOLKSWAGEN,NEW BEETLE TDI DIESEL,SUBCOMPACT,1.9,4,M5,D,6.7
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,A5,Z,13.2
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,Z,11.2
VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,A5,Z,14.7
VOLKSWAGEN,PASSAT,MID-SIZE,2.8,6,M5,Z,13.4
VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,1.8,4,A5,Z,13.2
VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,1.8,4,M5,Z,11.2
VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.8,6,A5,Z,14.7
VOLKSWAGEN,PASSAT WAGON,STATION WAGON - MID-SIZE,2.8,6,M5,Z,13.4
VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.3,5,A4,Z,14.2
VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.3,5,M5,Z,13.4
VOLVO,C70 CONVERTIBLE TURBO,SUBCOMPACT,2.4,5,A4,Z,13.9
VOLVO,C70 TURBO,COMPACT,2.3,5,A4,Z,13.9
VOLVO,C70 TURBO,COMPACT,2.3,5,M5,Z,13.0
VOLVO,C70 TURBO,COMPACT,2.4,5,A4,Z,13.6
VOLVO,S70,MID-SIZE,2.4,5,A5,Z,13.2
VOLVO,S70,MID-SIZE,2.4,5,M5,Z,12.6
VOLVO,S70 AWD TURBO,MID-SIZE,2.4,5,A4,Z,14.4
VOLVO,S70 GLT TURBO,MID-SIZE,2.4,5,A4,Z,13.6
VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,A4,Z,13.9
VOLVO,S70 T5 TURBO,MID-SIZE,2.3,5,M5,Z,13.0
VOLVO,S80 2.9,MID-SIZE,2.9,6,A4,Z,14.5
VOLVO,S80 T-6,MID-SIZE,2.8,6,AS4,Z,15.1
VOLVO,V70,STATION WAGON - MID-SIZE,2.4,5,A5,Z,13.2
VOLVO,V70,STATION WAGON - MID-SIZE,2.4,5,M5,Z,12.6
VOLVO,V70 AWD TURBO,STATION WAGON - MID-SIZE,2.4,5,A4,Z,14.4
VOLVO,V70 GLT TURBO,STATION WAGON - MID-SIZE,2.4,5,A4,Z,13.6
VOLVO,V70 T5 TURBO,STATION WAGON - MID-SIZE,2.3,5,A4,Z,13.9
VOLVO,V70 T5 TURBO,STATION WAGON - MID-SIZE,2.3,5,M5,Z,13.0
VOLVO,V70R AWD TURBO,STATION WAGON - MID-SIZE,2.4,5,A5,Z,14.7
